STATE,ST_CASE,VEH_NO,AGE,SEX,DRINKING,DRUGS,DOA,AgeCat
47,470054,0,28,1,1,1,0,17-32
39,391018,1,26,1,0,0,0,17-32
42,420479,2,60,1,0,0,0,49-64
51,510475,1,47,1,0,0,0,33-48
2,20031,1,38,1,0,0,0,33-48
49,490205,1,49,2,0,0,0,49-64
33,330003,1,38,1,0,0,0,33-48
26,260874,2,54,1,0,0,0,49-64
42,420179,3,39,1,0,0,0,33-48
1,10463,1,59,2,1,0,1,49-64
12,120612,2,36,1,0,0,0,33-48
27,270092,1,31,2,0,0,0,17-32
19,190047,2,61,1,0,0,0,49-64
26,260370,1,25,2,0,0,1,17-32
22,220300,1,21,1,0,0,1,17-32
21,210008,2,50,1,0,0,1,49-64
48,482803,1,31,1,0,0,1,17-32
34,340276,1,59,1,0,0,0,49-64
21,210398,1,25,1,0,0,0,17-32
45,450592,1,43,1,1,0,1,33-48
2,20003,1,23,1,0,0,0,17-32
48,481140,0,62,1,0,0,1,49-64
6,61272,2,34,1,0,0,0,33-48
21,210484,1,44,1,0,0,1,33-48
50,500038,1,22,1,0,0,1,17-32
47,470873,1,53,2,0,0,1,49-64
6,61971,2,51,2,0,0,0,49-64
37,371035,2,55,1,0,0,0,49-64
28,280541,1,61,1,0,0,0,49-64
51,510251,1,81,2,0,0,0,65 and Above
12,121299,1,26,1,0,0,0,17-32
37,370151,1,58,1,1,0,1,49-64
9,90258,2,15,1,0,0,0,0-16
37,371197,2,57,2,0,0,0,49-64
32,320244,1,55,1,1,1,1,49-64
22,220411,1,71,1,0,0,0,65 and Above
47,470253,1,29,1,1,0,1,17-32
4,40143,1,23,1,0,0,0,17-32
55,550106,2,48,1,0,0,0,33-48
39,390889,1,22,1,1,1,0,17-32
31,310128,1,47,1,0,0,1,33-48
13,131224,1,56,1,1,0,1,49-64
47,470595,2,15,1,0,0,0,0-16
17,170887,1,62,1,0,0,0,49-64
47,470233,1,54,2,0,0,0,49-64
26,260190,1,52,1,0,0,1,49-64
47,470594,2,9,1,0,0,0,0-16
6,60271,1,26,2,0,0,0,17-32
28,280567,1,21,2,0,0,0,17-32
18,180419,1,59,1,0,0,1,49-64
8,80392,1,25,2,0,0,1,17-32
4,40707,1,20,1,0,0,0,17-32
8,80218,2,25,1,0,0,0,17-32
22,220020,2,68,1,0,0,0,65 and Above
51,510594,1,65,1,0,0,0,65 and Above
42,420936,1,54,1,0,0,0,49-64
42,420186,1,28,1,0,0,1,17-32
55,550154,2,43,2,0,0,0,33-48
5,50311,2,41,1,0,0,0,33-48
18,180143,2,41,1,0,0,0,33-48
6,60666,1,68,2,0,0,0,65 and Above
4,40262,3,37,2,0,0,0,33-48
6,60122,1,35,1,0,0,0,33-48
34,340198,0,48,1,1,0,1,33-48
26,260788,2,37,2,0,0,0,33-48
1,10370,1,69,2,0,0,0,65 and Above
37,370831,1,21,1,0,0,0,17-32
12,122730,3,55,2,0,0,0,49-64
12,121613,1,43,2,1,0,1,33-48
8,80347,3,53,1,0,0,0,49-64
37,371082,1,39,1,0,0,0,33-48
48,481396,1,27,1,0,0,0,17-32
13,130468,1,47,2,0,0,0,33-48
26,260795,0,50,2,1,1,1,49-64
37,370859,2,53,1,0,0,0,49-64
6,60986,1,71,1,0,0,0,65 and Above
45,450689,4,44,1,0,0,0,33-48
20,200247,1,58,1,0,0,0,49-64
8,80034,3,56,1,0,0,0,49-64
22,220425,1,62,1,1,0,1,49-64
6,62421,2,48,1,0,0,0,33-48
32,320116,1,55,1,0,0,1,49-64
45,450086,1,73,1,1,0,0,65 and Above
40,400036,2,37,1,0,0,0,33-48
16,160073,1,35,2,0,0,1,33-48
19,190124,1,1,1,0,0,0,0-16
56,560080,2,57,1,0,0,0,49-64
